component,layer,head,source,separation,delta_separation,behavior,delta_behavior,dfa_score,dfa_rank,necessity_separation,necessity_behavior,separation_control_z,behavior_control_z
L8H2,8,2,dfa,6.487650632858276,-0.09493298530578631,4.2359375,-0.045312499999999645,0.5590057373046875,6,0.09493298530578631,0.045312499999999645,-0.9765646560590804,0.0909049295627912
L6H2,6,2,dfa,6.5155510902404785,-0.06703252792358416,4.23125,-0.04999999999999982,0.28969624638557434,16,0.06703252792358416,0.04999999999999982,-0.7868233606068407,0.06855125835882554
L2H5,2,5,random,6.516697597503662,-0.06588602066040039,4.2546875,-0.026562499999999822,,,0.06588602066040039,0.026562499999999822,-0.7790263639346405,0.18031961437864957
L0H7,0,7,random,6.5191350221633915,-0.06344859600067121,4.2828125,0.0015625000000003553,,,0.06344859600067121,-0.0015625000000003553,-0.7624502875582272,0.31444164160243926
L6H3,6,3,dfa,6.521194791793823,-0.06138882637023979,4.284375,0.0031249999999998224,0.5890862941741943,5,0.06138882637023979,-0.0031249999999998224,-0.7484425115330016,0.32189286533709166
L7H7,7,7,dfa,6.526591324806214,-0.05599229335784894,4.2625,-0.018749999999999822,0.2604251205921173,17,0.05599229335784894,0.018749999999999822,-0.7117425696397551,0.21757573305192426
L4H2,4,2,random,6.533531236648559,-0.049052381515503285,4.2625,-0.018749999999999822,,,0.049052381515503285,0.018749999999999822,-0.6645466457431458,0.21757573305192426
L7H3,7,3,dfa,6.553756546974182,-0.02882707118988037,4.303125,0.021874999999999645,0.2369256168603897,20,0.02882707118988037,-0.021874999999999645,-0.5270013528636367,0.41130755015295006
L17H5,17,5,random,6.567348742485047,-0.015234875679015936,4.353125,0.07187500000000036,,,0.015234875679015936,-0.07187500000000036,-0.43456556412575403,0.6497467096619114
L8H0,8,0,dfa,6.578285765647888,-0.004297852516174316,4.234375,-0.046875,0.29631778597831726,15,0.004297852516174316,0.046875,-0.36018667797055764,0.08345370582813456
L19H12,19,12,dfa,6.591477465629578,0.008893847465515137,3.775,-0.5062500000000001,-1.1320801973342896,7,-0.008893847465515137,0.5062500000000001,-0.2704745198702489,-2.107206072160417
L20H9,20,9,dfa,6.596138167381286,0.013554549217223766,4.6109375,0.32968750000000036,0.7103493213653564,20,-0.013554549217223766,-0.32968750000000036,-0.23877871015747204,1.879198625879976
