component,layer,head,source,separation,delta_separation,behavior,delta_behavior,dfa_score,dfa_rank,necessity_separation,necessity_behavior,separation_control_z,behavior_control_z
L19H0,19,0,dfa,37.85398805141449,-0.9169284105300903,4.35625,0.07500000000000018,0.6692034006118774,23,0.9169284105300903,-0.07500000000000018,-4.252698004388292,1.4884351555221467
L20H9,20,9,dfa,37.8832768201828,-0.8876396417617798,4.6109375,0.32968750000000036,0.534958004951477,27,0.8876396417617798,-0.32968750000000036,-4.109778719847226,6.0877703280360755
L19H12,19,12,dfa,37.941459035873415,-0.8294574260711656,3.775,-0.5062500000000001,-0.6870869994163513,22,0.8294574260711656,0.5062500000000001,-3.8258691876543414,-9.008207078681416
L19H13,19,13,dfa,37.94776277542114,-0.8231536865234403,4.3359375,0.0546875,0.5881603956222534,25,0.8231536865234403,-0.0546875,-3.7951090709276563,1.1216170129290084
L20H13,20,13,dfa,37.95757291316986,-0.8133435487747178,4.175,-0.10625000000000018,0.7487526535987854,18,0.8133435487747178,0.10625000000000018,-3.747238917033932,-1.7847113476166037
L19H4,19,4,dfa,37.98134877681732,-0.7895676851272597,4.3015625,0.020312500000000178,0.9109516143798828,14,0.7895676851272597,-0.020312500000000178,-3.631220744719457,0.5008478485406292
L19H1,19,1,dfa,38.051539945602414,-0.7193765163421659,4.4203125,0.13906249999999964,0.7180560231208801,20,0.7193765163421659,-0.13906249999999964,-3.2887115835040226,2.6453231437004865
L17H7,17,7,dfa,38.09901757240296,-0.6718988895416231,4.409375,0.12812499999999982,-0.637813925743103,24,0.6718988895416231,-0.12812499999999982,-3.0570368242228136,2.4478056823041863
L12H1,12,1,random,38.175980138778684,-0.5949363231658964,4.3859375,0.10468749999999982,,,0.5949363231658964,-0.10468749999999982,-2.6814855332185896,2.024553979312107
L18H6,18,6,dfa,38.30324590206146,-0.4676705598831177,4.4140625,0.1328125,,,0.4676705598831177,-0.1328125,-2.0604716565742742,2.5324560229026054
L18H12,18,12,random,38.30637767314911,-0.4645387887954726,4.23125,-0.04999999999999982,0.450157105922699,34,0.4645387887954726,0.04999999999999982,-2.0451896730012087,-0.7689072604356078
L17H6,17,6,dfa,38.31925811767578,-0.45165834426880025,4.1234375,-0.15781250000000036,0.31354206800460815,46,0.45165834426880025,0.15781250000000036,-1.9823374605751725,-2.7158650941991804
L18H7,18,7,dfa,38.40452637672424,-0.36639008522033834,4.284375,0.0031249999999998224,0.30877265334129333,47,0.36639008522033834,-0.0031249999999998224,-1.566257198763216,0.19046326634643154
L17H11,17,11,dfa,38.40487406253815,-0.3660423994064317,4.134375,-0.14687499999999964,0.7523149251937866,17,0.3660423994064317,0.14687499999999964,-1.5645606095975293,-2.5183476328028642
L20H14,20,14,dfa,38.42788443565369,-0.34303202629089213,4.4609375,0.1796875,,,0.34303202629089213,-0.1796875,-1.4522777721484492,3.378959428886763
L20H2,20,2,dfa,38.43920409679413,-0.33171236515045166,4.3125,0.03125,,,0.33171236515045166,-0.03125,-1.3970416547057294,0.6983653099369295
L17H12,17,12,dfa,38.559453344345094,-0.21146311759948588,4.203125,-0.078125,,,0.21146311759948588,0.078125,-0.8102660014669276,-1.2768093040261057
L17H13,17,13,dfa,38.564705276489256,-0.2062111854553237,3.9203125,-0.3609374999999999,-0.3314191401004791,43,0.2062111854553237,0.3609374999999999,-0.7846383490913857,-6.384046520130523
L18H0,18,0,dfa,38.56900947093963,-0.2019069910049467,4.01875,-0.2625000000000002,-0.30341705679893494,48,0.2019069910049467,0.2625000000000002,-0.7636353360852848,-4.606389367563796
L13H9,13,9,random,38.588333058357236,-0.18258340358734415,4.184375,-0.09687499999999982,,,0.18258340358734415,0.09687499999999982,-0.6693427657714861,-1.6154106664197658
L17H15,17,15,dfa,38.60065655708313,-0.17025990486145304,4.0984375,-0.18281249999999982,,,0.17025990486145304,0.18281249999999982,-0.6092082604640204,-3.1673335773907216
L15H8,15,8,dfa,38.62567880153656,-0.14523766040802144,4.178125,-0.10312500000000036,,,0.14523766040802144,0.10312500000000036,-0.48710817140990487,-1.7282777872176631
L2H5,2,5,random,38.645366072654724,-0.12555038928985596,4.2546875,-0.026562499999999822,,,0.12555038928985596,0.026562499999999822,-0.3910409476548888,-0.34565555744352877
L6H9,6,9,random,38.65827879905701,-0.11263766288757182,4.2578125,-0.0234375,,,0.11263766288757182,0.0234375,-0.3280312105953462,-0.28922199704458806
L4H2,4,2,random,38.66257340908051,-0.10834305286407186,4.2625,-0.018749999999999822,,,0.10834305286407186,0.018749999999999822,-0.3070749663504328,-0.2045716564461691
L7H6,7,6,random,38.69634189605713,-0.07457456588745259,4.303125,0.021874999999999645,,,0.07457456588745259,-0.021874999999999645,-0.1422961722362021,0.5290646287400915
